#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-28T14:15:52 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-28T14:15:52	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=I/311/hip2&-out=HIP,RArad,DErad,pmRA,pmDE,Hpmag&-out.max=15000&Hpmag=&lt;6.5&-out.form=tsv	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1311
#Name: I/311
#Title: Hipparcos, the New Reduction (van Leeuwen, 2007)
#INFO	ivoid=ivo://cds.vizier/i/311	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/311	    IVOID of underlying data collection
#INFO	creator=van Leeuwen F.	    First author or institution
#INFO	cites=bibcode:2007A&A...474..653V	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2007	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/311	    Dataset landing page
#INFO	publication_date=2017-12-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_311_hip2:
#Name: I/311/hip2
#Title: The Astrometric Catalogue
#Column	HIP	(I6)	Hipparcos identifier	[ucd=meta.id;meta.main]
#Column	RArad	(F12.8)	Right Ascension in ICRS, Ep=1991.25	[ucd=pos.eq.ra;meta.main]
#Column	DErad	(F12.8)	Declination in ICRS, Ep=1991.25	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F8.2)	Proper motion in Right Ascension	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	Proper motion in Declination	[ucd=pos.pm;pos.eq.dec]
#Column	Hpmag	(F7.4)	Hipparcos magnitude	[ucd=phot.mag;em.opt.V]
HIP	RArad	DErad	pmRA	pmDE	Hpmag
  3849	012.35647368	-13.56101721	  105.11	 -104.30	 5.7503
  3858	012.38932379	-23.36210935	  -11.52	  -13.93	 6.3272
  3881	012.45345727	+41.07895471	   22.77	  -18.35	 4.4853
  3885	012.47128716	+27.71031153	   88.17	  -10.15	 5.6451
  3909	012.53218464	-10.64377032	 -226.91	 -229.75	 5.2810
  3919	012.57589021	+45.00224092	   61.50	    7.00	 6.1499
  3949	012.67136694	-50.98692401	   62.69	   44.74	 5.3218
  3951	012.68155211	+64.24758081	   28.57	  -12.28	 5.4654
  3965	012.73860932	+51.50803349	  137.98	   -0.24	 6.4536
  3988	012.81827325	+61.80549806	   -2.68	   -1.42	 6.1253
  4023	012.89079544	+51.57145309	   -3.59	  -10.45	 6.2398
  4104	013.16917039	-24.00592582	   37.52	   33.24	 5.6191
  4147	013.25204352	-01.14422074	    6.99	  -15.66	 4.8864
  4151	013.26783044	+61.12355714	  -68.95	  170.15	 4.9069
  4185	013.36756308	+37.41831726	   10.74	  -43.87	 6.2296
  4200	013.40741154	-62.87135328	   74.61	    0.73	 5.6532
  4212	013.44802907	+52.68934457	   75.43	  -20.93	 6.3329
  4257	013.57326191	-08.74054638	   16.70	  -48.21	 6.3136
  4267	013.64674990	+19.18843580	    9.86	   -7.75	 5.7989
  4283	013.71984574	+83.70746148	   60.92	   -9.09	 5.6279
  4288	013.74174940	+23.62844589	  135.43	  -48.61	 5.6173
  4292	013.75080475	+58.97279667	  -33.50	  -40.82	 4.9892
  4293	013.75124752	-69.52697872	    7.37	  -43.69	 5.6126
  4298	013.77176739	+48.67854812	  -22.63	  -10.20	 6.3431
  4317	013.81107317	+24.55709604	   23.44	  -14.22	 6.2121
  4346	013.92668412	-07.34703982	   -8.23	  -45.59	 5.9961
  4363	013.98137348	-27.77582719	   11.26	   -5.05	 6.1993
  4366	013.99384289	+27.20935401	  -19.32	   12.20	 6.1299
  4371	014.00627568	-11.26650675	  -28.37	   -8.22	 5.4752
  4383	014.05386153	+57.99659575	   40.76	  -15.16	 6.3505
  4422	014.16671041	+59.18116590	  -92.65	  -45.50	 4.7838
  4427	014.17708782	+60.71674955	   25.17	   -3.92	 2.1379
  4436	014.18790714	+38.49925521	  153.48	   36.49	 3.9034
  4440	014.19558681	+60.36284788	   26.13	   -3.79	 5.5488
  4446	014.22911973	+68.77574207	  100.71	  -34.57	 6.4761
  4463	014.30178257	+23.41775993	  -43.47	  -45.73	 4.5603
  4501	014.41514922	+45.83939486	   11.23	   -6.37	 6.2692
  4510	014.45895161	+28.99223558	    5.24	   -7.43	 5.6103
  4520	014.47714748	+13.69587935	   -6.59	   -6.57	 6.4566
  4552	014.55914303	+33.95105921	   34.98	  -71.87	 6.1600
  4558	014.57874159	+21.40450313	  -11.06	   -3.59	 6.4906
  4563	014.59240992	-60.69629551	   42.83	   22.56	 6.2737
  4572	014.62916143	+66.35182537	   43.81	  -13.62	 5.9731
  4577	014.65144096	-29.35746422	   20.13	    5.31	 4.2628
  4587	014.68286522	-11.37993902	  -34.21	  -14.59	 5.7802
  4655	014.95697867	+06.48323787	   20.59	   -5.53	 6.2090
  4675	015.01477976	+44.71330475	   13.85	  -23.83	 5.6834
  4709	015.12861421	+70.98300451	   75.65	   -6.16	 6.4500
  4770	015.32593932	-38.91664883	   66.99	   49.28	 5.7493
  4829	015.50755781	-57.00242938	    6.43	   16.86	 6.2707
  4852	015.60990706	-31.55204216	   80.50	   14.64	 5.5405
  4879	015.67872753	-65.45611104	    8.41	    3.26	 6.3135
  4889	015.70452754	+31.80433662	   14.33	  -30.25	 5.4945
  4890	015.70496554	-46.39733799	   -1.90	   11.26	 5.5481
  4903	015.72614981	+41.34519894	  -17.19	  -17.00	 6.0028
  4906	015.73606599	+07.89007267	  -80.17	   25.59	 4.4267
  4914	015.76085294	-04.83635034	 -115.33	 -102.01	 5.5696
  4932	015.82401809	-29.52577061	 -102.76	  -31.68	 6.4367
  4962	015.90419818	+61.07482979	   -1.92	   -2.98	 6.0251
  4979	015.95398632	+01.36694535	  121.60	  -41.12	 6.1312
  4998	016.00995051	+52.50230931	    1.92	  -61.23	 6.1269
  5021	016.08145365	+61.58024412	  -80.06	  -25.06	 5.9575
  5034	016.11487399	+29.65909842	   83.78	 -120.21	 6.2975
  5074	016.21925134	+05.65630140	   30.85	  -14.56	 6.1597
  5081	016.27229772	+14.94600348	    7.03	   53.51	 5.7350
  5121	016.40375283	-09.97923966	  -30.85	  -34.20	 6.2598
  5131	016.42053076	+21.47321626	   44.49	  -14.82	 5.3425
  5132	016.42365763	+21.46547295	   52.88	  -11.88	 5.5192
  5141	016.45509230	+04.90866175	   14.05	 -120.50	 6.4428
  5164	016.52137503	-09.83936868	   31.10	    6.10	 5.5908
  5165	016.52128448	-46.71849569	  -80.81	   34.97	 3.4646
  5170	016.53220752	-23.99236898	  -41.28	  -33.15	 6.2836
  5175	016.54664913	+32.18154225	    7.04	  -22.65	 6.4336
  5204	016.64007707	+12.95597354	   13.50	   25.94	 6.2996
  5251	016.78933990	+53.49819321	   17.15	   -3.58	 6.4362
  5259	016.80364896	-23.99625635	   75.49	  -31.57	 6.4286
  5268	016.82738591	-61.77526175	   73.80	  -11.55	 5.5032
  5296	016.94216787	-09.78559181	  149.20	   17.27	 5.8131
  5300	016.94927584	-41.48693712	   38.67	    4.32	 5.2617
  5310	016.98795739	+20.73932084	   86.72	  -82.75	 5.6084
  5317	017.00299439	+43.94224104	  161.30	  -61.44	 5.0821
  5319	017.00501788	+32.01219210	  203.33	  -25.73	 6.3213
  5336	017.05383814	+54.92422782	 3422.23	-1598.93	 5.2898
  5346	017.09309886	+05.65022118	 -242.32	 -165.07	 5.5927
  5348	017.09608393	-55.24583250	   20.87	   30.64	 3.9219
  5361	017.13936551	+58.26347950	   17.10	  -12.94	 5.7762
  5364	017.14693207	-10.18192793	  215.61	 -139.02	 3.6235
  5372	017.18399738	+86.25711805	   80.65	  -11.54	 4.4059
  5412	017.30122042	+80.01167669	  -31.97	  -38.96	 6.3995
  5434	017.37550890	+47.24182450	    4.05	  -12.43	 4.2350
  5447	017.43249023	+35.62083036	  175.90	 -112.20	 2.1741
  5454	017.45501983	+19.65838529	   -6.04	    8.75	 5.7069
  5483	017.54762041	+15.67397125	   20.31	  -24.51	 6.1879
  5493	017.57853007	+42.08157675	 -135.14	  -42.25	 5.7972
  5494	017.58103900	+25.45803971	    0.23	 -114.40	 5.9332
  5510	017.63982235	+02.44570808	   -7.61	  -14.74	 6.0926
  5518	017.66360611	+68.77868757	   35.77	  -27.17	 5.3204
  5542	017.77471147	+55.14994759	  226.77	  -18.75	 4.3873
  5544	017.77822205	+31.42476550	   -9.63	  -12.63	 5.2250
  5550	017.79287107	+37.72413836	  -14.94	   -5.21	 5.7691
  5566	017.85631894	+64.20272388	   40.71	  -19.44	 5.5482
  5571	017.86330916	+21.03467563	   39.32	  -10.48	 4.8317
  5586	017.91494441	+30.08972944	   73.88	  -38.30	 4.6751
  5589	017.92237012	+65.01888508	   23.65	  -13.59	 5.5562
  5594	017.93142747	-02.25102463	  -57.96	  -22.40	 6.0748
  5626	018.06878974	+79.67397513	   94.97	   -5.14	 5.6135
  5650	018.14192225	+45.33747991	   25.41	   20.83	 6.2109
  5661	018.18902944	-37.85640387	   88.64	  -29.91	 6.0233
  5679	018.24774623	+30.06430760	   22.36	  -33.28	 6.3888
  5688	018.29090581	+61.70620372	   30.04	   -7.60	 6.3947
  5737	018.43250842	+07.57548938	  145.00	  -55.69	 5.2849
  5742	018.43722969	+24.58376439	   17.50	  -22.04	 4.8340
  5743	018.43822822	+07.57838236	  181.78	  -40.34	 6.4273
  5772	018.52027213	+28.52970552	   61.51	  -53.54	 6.3950
  5778	018.53186778	+16.13354221	  -30.46	  -26.53	 5.9444
  5799	018.59986256	-07.92350028	  124.64	  277.64	 5.2444
  5824	018.67666618	+06.99519663	  -13.45	  -24.33	 6.2076
  5833	018.70491854	-00.97429414	  -14.38	  205.71	 5.7987
  5862	018.79403180	-45.53209714	  665.13	  177.63	 5.0854
