#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-28T14:15:53 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-28T14:15:53	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=I/239/hip_main&-out=HIP,B-V&-out.max=15000&Vmag=&lt;6.5&-out.form=tsv	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
HIP	B-V
  8102	 0.727
  8115	 0.131
  8127	 1.419
  8143	 0.864
  8148	 0.062
  8159	 0.720
  8198	 0.942
  8209	 0.395
  8230	 1.517
  8233	 0.366
  8240	 1.615
  8241	 0.031
  8320	 1.544
  8362	 0.804
  8366	 0.338
  8369	 1.016
  8370	 0.461
  8387	-0.039
  8404	 0.970
  8423	 0.975
  8433	 0.572
  8475	 0.170
  8480	 1.222
  8497	 0.333
  8514	 0.523
  8544	 0.743
  8552	 0.998
  8588	 0.302
  8593	 0.154
  8598	 0.419
  8641	 1.094
  8645	 1.136
  8664	 1.233
  8688	 1.608
  8704	-0.175
  8714	-0.067
  8771	 0.050
  8778	 0.260
  8796	 0.488
  8814	 1.311
  8820	 1.125
  8832	-0.047
  8833	 0.928
  8837	 1.597
  8847	 0.185
  8882	-0.060
  8886	-0.150
  8903	 0.165
  8922	 1.262
  8928	 0.931
  8930	 1.169
  8957	 0.409
  8983	 0.356
  8991	 0.448
  8993	 1.185
  8998	 0.549
  9001	 1.599
  9007	 0.844
  9009	-0.084
  9021	 1.060
  9022	-0.081
  9061	 1.434
  9085	 0.487
  9094	 0.817
  9095	 0.864
  9110	 0.921
  9132	 1.576
  9149	 0.906
  9153	 0.290
  9163	 1.203
  9207	 1.006
  9220	-0.042
  9222	 1.005
  9236	 0.290
  9237	 1.128
  9295	 0.186
  9307	 1.031
  9312	 0.002
  9313	 1.052
  9318	 1.176
  9326	 1.640
  9347	 1.554
  9353	 0.610
  9372	 1.391
  9440	 0.883
  9459	 1.471
  9480	 0.164
  9487	 0.024
  9505	-0.071
  9521	 0.135
  9533	 1.584
  9562	 1.340
  9564	 0.029
  9568	 1.107
  9570	 0.029
  9572	 0.966
  9573	 0.325
  9586	 0.162
  9589	 0.146
  9598	-0.002
  9621	 0.537
  9622	 1.589
  9627	 1.424
  9631	 0.851
  9640	 1.370
  9655	 1.498
  9677	-0.156
  9685	 0.386
  9706	 1.114
  9727	 0.345
  9763	 0.954
  9809	 1.636
  9827	 0.897
  9836	 0.121
  9859	-0.030
  9862	 1.143
  9884	 1.151
  9977	 0.120
  9983	 0.965
  9990	 0.595
  9999	 1.661
 10035	 1.197
 10050	 0.471
 10053	 0.339
 10054	 0.118
 10064	 0.140
 10069	 0.289
 10096	 0.430
 10111	 0.899
 10115	 0.948
 10138	 0.812
 10155	 1.641
 10176	-0.054
 10203	 1.365
 10212	 0.569
 10215	 0.418
 10220	 0.112
 10227	 0.298
 10234	 0.967
 10273	 1.039
 10280	 0.770
 10296	 1.366
 10305	 0.546
 10306	 0.457
 10309	 0.240
 10320	-0.013
 10324	 0.878
 10326	 1.006
 10328	 1.551
 10340	 1.476
 10350	 0.915
 10366	 0.926
 10379	 0.554
 10396	 1.415
 10403	 0.406
 10418	 1.556
 10438	 0.641
 10440	 0.965
 10446	 0.957
 10513	 1.306
 10535	 0.520
 10540	 0.439
 10559	-0.004
 10562	 1.029
 10602	-0.120
 10623	 0.951
 10633	 0.281
 10642	 0.962
 10644	 0.607
 10670	 0.019
 10718	 1.175
 10723	 0.588
 10729	 1.039
 10732	 0.011
 10793	 0.037
 10795	 0.376
 10798	 0.724
 10814	 0.164
 10819	 0.006
 10826	 0.966
 10830	 0.427
 10832	 1.162
 10871	 1.570
 10924	-0.094
 10944	-0.089
 11001	 0.034
 11020	 0.569
 11021	 1.648
 11029	 0.364
 11033	 1.231
 11043	 0.991
 11046	 0.335
 11060	 0.369
 11072	 0.608
 11090	 0.289
 11095	 1.088
 11102	 0.213
 11108	 0.942
 11121	 1.592
 11174	 0.845
 11212	 1.321
 11220	 0.979
 11231	 0.653
 11249	-0.098
 11258	 0.395
 11261	-0.011
 11279	 0.249
 11293	 1.511
 11313	 1.532
 11345	-0.027
 11348	 0.116
 11381	 1.247
 11407	-0.136
 11415	 1.461
 11427	 0.450
 11432	 1.114
 11465	 0.435
 11474	 0.971
 11477	 0.089
 11479	-0.025
 11484	-0.053
 11486	 0.311
 11524	 1.106
 11548	 0.591
 11569	 0.153
 11578	 0.155
 11603	 1.022
 11651	 1.079
 11670	 0.412
 11671	 1.581
 11678	 0.247
 11687	 0.168
 11698	 0.908
 11738	 1.271
 11757	 0.981
 11767	 0.636
 11783	 0.454
 11784	 1.472
 11791	 1.004
 11802	 1.027
 11840	 1.083
 11843	 0.572
 11867	 1.064
 11907	 1.100
 11918	-0.050
 11925	 0.509
 12002	 1.393
 12022	 1.053
 12057	-0.095
 12072	 1.389
 12086	 1.652
 12093	 0.880
 12107	 1.607
 12114	 0.918
 12122	 1.017
 12148	 1.040
 12153	 0.516
 12160	 1.052
 12181	 0.502
 12186	 0.653
 12189	 0.510
 12200	 0.515
 12225	 0.289
 12239	 1.561
 12247	 1.021
 12272	 0.431
 12273	 0.896
 12287	 0.490
 12288	 0.476
 12300	 0.521
 12305	-0.029
 12318	 0.999
 12332	 0.168
 12387	-0.212
 12390	 0.447
 12394	-0.061
 12413	 0.061
 12444	 0.524
 12447	 0.397
 12484	 0.411
 12486	 1.006
 12489	 0.081
 12530	 0.511
 12562	 0.429
 12584	 1.175
 12608	 0.917
 12611	 0.876
 12623	 0.582
 12640	-0.017
 12647	 0.064
 12653	 0.561
 12686	 1.125
 12690	 1.140
 12692	-0.110
 12706	 0.093
 12708	-0.022
 12717	 0.542
 12719	-0.122
 12720	 0.981
 12744	 0.089
 12768	 0.904
 12770	-0.122
 12775	 0.088
 12777	 0.514
 12784	 1.143
 12786	 0.040
 12803	-0.024
 12821	 0.136
 12828	 0.311
 12832	 0.234
 12843	 0.481
 12862	 0.312
 12871	 0.932
 12876	 0.058
 12964	 0.387
 12982	 0.935
 12990	 0.385
 13008	 0.398
 13036	 0.637
 13055	 1.300
 13061	 1.112
 13108	 1.216
 13121	-0.033
 13133	 0.151
 13141	 0.101
 13147	 0.981
 13165	-0.066
 13176	 0.422
 13178	 0.786
 13197	 0.998
 13202	 0.013
 13209	-0.100
 13225	 0.899
 13244	 1.337
 13254	 0.343
 13257	 0.617
 13265	 1.259
 13268	 1.690
 13271	 0.040
 13288	 0.906
 13327	-0.099
 13328	 1.554
 13339	 0.903
 13347	 0.104
 13363	 0.484
 13367	 0.700
 13387	 1.249
 13402	 0.862
 13421	 0.196
 13424	 0.093
 13429	 1.008
 13448	 0.457
 13462	 1.180
 13473	 0.437
 13479	 1.041
 13490	 0.423
 13518	 1.571
 13531	 0.758
 13654	 1.452
 13665	 0.445
 13679	 0.478
 13700	 1.994
 13701	 1.088
 13702	 0.471
 13713	 1.305
 13717	 0.084
 13732	 1.567
 13756	 1.623
 13768	 0.472
 13775	-0.007
 13782	 0.238
 13789	-0.018
 13832	 1.403
 13834	 0.415
 13835	 1.334
 13847	 0.128
 13874	 0.014
 13879	 0.065
 13883	 0.221
 13884	 0.126
 13905	 1.235
 13907	 1.044
 13914	 0.048
 13942	 0.427
 13947	 0.002
 13949	 1.445
 13951	-0.072
 13954	-0.109
 13965	 0.869
 13997	-0.057
 14036	 1.593
 14040	 1.751
 14043	-0.049
 14060	 1.043
 14086	 0.794
 14104	 1.041
 14109	 0.141
 14110	 1.092
 14124	 0.598
 14131	-0.125
 14135	 1.630
 14143	-0.107
 14146	 0.163
 14168	 0.941
 14187	 1.304
 14232	 0.306
 14240	 0.349
 14264	 0.301
 14293	 0.193
 14315	 1.045
 14318	 1.400
 14328	 0.716
 14354	 1.528
 14355	 1.020
 14365	 1.011
 14376	-0.031
 14382	 1.018
 14392	 1.049
 14417	 1.569
 14439	 1.087
 14456	 1.575
 14502	-0.020
 14514	-0.123
 14521	 0.298
 14544	 0.122
 14547	 1.011
 14551	 0.166
 14566	-0.019
 14576	-0.003
 14586	 1.560
 14607	 1.026
 14626	 0.231
 14632	 0.595
 14649	 1.241
 14668	 0.980
 14677	 0.115
 14719	 0.014
 14748	 1.278
 14749	 1.118
 14757	 0.912
 14764	-0.061
 14797	 0.614
 14814	 1.167
 14817	 1.115
 14819	 1.670
 14821	 1.038
 14838	 1.033
 14844	 0.149
 14862	 0.035
 14879	 0.543
 14887	-0.099
 14893	-0.106
 14913	 0.440
 14914	 1.425
 14915	 1.011
 14930	 2.419
 14954	 0.575
 14972	-0.076
 15004	 0.972
 15024	 1.041
 15110	-0.007
 15118	 1.093
 15125	 0.038
 15154	 0.012
 15191	 0.366
 15192	 0.644
 15193	 0.100
 15197	 0.232
 15201	 0.438
 15203	-0.018
 15204	 0.290
 15209	 1.674
 15219	 1.107
 15230	 1.648
 15241	 0.988
 15244	 0.407
 15282	-0.027
 15305	 1.228
 15309	 0.079
 15323	 0.574
 15330	 0.641
 15334	 0.056
 15338	-0.060
 15353	 0.133
 15357	 0.337
 15371	 0.600
 15382	 0.904
 15383	 1.050
 15404	-0.073
 15411	 0.381
 15416	 1.491
 15444	-0.067
 15457	 0.681
 15474	 1.614
 15479	 1.663
 15510	 0.711
 15514	 0.860
 15520	-0.108
 15547	 0.211
 15549	 1.555
 15557	 1.241
 15585	 0.542
 15619	 0.964
 15627	-0.067
 15643	 0.885
 15648	 0.051
 15655	 0.989
 15669	 0.468
 15696	 1.100
 15700	 0.010
 15737	 1.231
 15770	-0.076
 15776	 0.702
 15800	 1.154
 15807	 0.851
 15840	 0.482
 15850	 1.227
 15861	 1.190
 15863	 0.481
 15870	-0.028
 15876	-0.001
 15890	 2.038
 15900	 0.887
 15968	 0.415
 15987	 0.082
 15988	-0.073
 16015	 0.054
 16029	 0.934
 16042	 0.882
 16083	-0.082
 16095	-0.025
 16112	 1.284
 16142	 1.102
 16147	-0.091
 16156	 0.126
 16168	 0.048
 16177	 0.014
 16181	 0.951
 16210	-0.054
 16226	 0.790
 16228	 0.419
 16244	-0.096
 16245	 0.410
 16252	 0.131
 16263	 0.171
 16266	 1.020
 16281	 0.489
 16285	 0.205
 16290	 0.932
 16292	 0.022
 16303	 0.095
 16310	 0.489
 16319	 1.772
 16322	-0.041
 16335	 1.367
 16339	 0.116
 16340	-0.033
 16341	-0.092
 16358	 0.953
 16368	-0.055
 16369	 1.112
 16424	 0.067
 16447	 0.075
 16449	 0.120
 16470	-0.101
 16489	 0.894
 16499	 0.398
 16509	 1.101
 16511	-0.072
 16516	-0.007
 16518	-0.084
 16531	 1.037
 16537	 0.881
 16587	 0.168
 16591	 0.139
 16599	 0.114
 16602	 0.523
 16611	-0.106
 16628	 0.482
 16641	 0.891
 16664	 0.123
 16672	 1.404
 16677	 0.019
 16695	 0.642
 16697	 0.985
 16712	 0.433
 16779	 1.091
 16780	 0.915
 16803	-0.117
 16826	-0.058
 16827	 1.150
 16846	 0.885
 16852	 0.575
 16870	 1.023
 16924	 0.167
 16938	-0.064
 16974	-0.099
 16989	 0.980
 17007	-0.027
 17027	 0.921
 17056	 0.973
 17057	 1.031
 17058	 1.000
 17086	 1.041
 17103	 0.931
 17120	 0.994
 17136	 0.881
 17167	-0.145
 17181	 0.097
 17203	-0.062
 17214	 0.377
 17296	 1.651
 17304	-0.159
 17309	-0.016
 17313	-0.048
 17328	-0.005
 17342	 1.736
 17351	 1.191
 17358	-0.125
 17378	 0.915
 17395	 0.216
 17408	 0.994
 17436	 1.059
 17437	 1.552
 17440	 1.133
 17448	 0.022
 17453	 0.028
 17457	-0.088
 17460	 0.062
 17464	 1.035
 17475	 0.291
 17489	-0.034
 17493	 1.011
 17499	-0.105
 17506	 1.411
 17527	-0.064
 17529	 0.425
 17531	-0.110
 17534	 0.961
 17543	-0.123
 17558	 1.195
 17563	-0.099
 17573	-0.063
 17579	-0.036
 17584	-0.080
 17585	 0.347
 17587	 0.747
 17588	-0.020
 17593	 1.604
 17595	 0.992
 17608	-0.051
 17618	 0.110
 17651	 0.434
 17678	 1.590
 17702	-0.086
 17707	-0.020
 17717	 0.075
 17732	 0.474
 17734	-0.102
 17738	 0.973
 17759	 1.701
 17771	-0.125
 17772	 0.028
 17776	-0.067
 17798	 1.602
 17797	-0.038
 17805	 1.224
 17832	 0.377
 17846	 0.279
 17847	-0.070
 17851	-0.082
 17854	 0.096
 17858	 0.061
 17874	 0.927
 17884	 1.870
 17886	 0.057
 17891	 0.189
 17900	-0.046
 17921	-0.006
 17932	 0.779
 17950	 0.435
 17954	 0.231
 17959	 0.064
 18033	-0.058
 18067	-0.057
 18081	-0.036
 18089	 0.046
 18094	 0.206
 18141	-0.090
 18170	 0.354
 18173	 0.866
 18199	 1.220
 18201	 0.110
 18212	 1.040
 18213	-0.133
 18216	-0.136
 18217	 0.182
 18246	 0.271
 18255	 0.672
 18262	 0.599
 18275	 0.158
 18339	 0.323
 18396	-0.073
 18401	 1.094
 18428	 1.585
 18434	-0.058
 18438	 0.333
 18453	 0.425
 18455	 0.269
 18471	 0.345
 18481	 0.058
 18485	 0.031
 18488	 1.435
 18505	-0.074
 18508	 1.372
 18532	-0.199
 18543	 1.588
 18565	 1.081
 18592	 0.439
 18597	 1.590
 18606	 1.001
 18614	 0.016
 18647	 1.479
 18658	 0.417
 18673	-0.121
 18717	 0.056
 18723	 0.036
 18724	-0.099
 18735	 0.319
 18744	 1.500
 18769	-0.005
 18772	 1.386
 18788	-0.133
 18805	 0.005
 18859	 0.516
 18907	 0.032
 18926	-0.178
 18957	-0.080
 18975	 0.371
 18990	 1.266
 18993	 0.505
 19009	 0.813
 19011	 1.062
 19018	 0.495
 19037	 1.157
 19038	 1.064
 19076	 0.620
 19095	 0.324
 19111	 0.918
 19121	 0.063
 19129	 1.543
 19167	-0.011
 19171	-0.124
 19172	 0.983
 19177	 0.145
 19205	 0.359
 19222	 0.977
 19233	 0.636
 19261	 0.397
 19284	 1.497
 19302	 0.943
 19335	 0.520
 19343	-0.025
 19376	 0.052
 19388	 1.077
 19398	-0.147
 19400	 0.448
 19412	 1.112
 19434	 0.443
 19454	 0.393
 19461	 0.589
 19483	 0.941
 19509	 1.070
 19511	 1.057
 19513	 0.352
 19515	 0.334
 19525	 1.412
 19554	 0.360
 19571	 0.165
 19587	 0.327
 19590	 0.950
 19601	 0.968
 19641	 1.081
 19672	 0.171
 19673	 1.169
 19719	 0.366
 19720	 0.021
 19721	 1.468
 19725	-0.125
 19730	 1.019
 19736	 1.143
 19740	 0.799
 19746	 1.029
 19747	 1.085
 19777	 1.156
 19780	 0.915
 19799	-0.085
 19805	 1.106
 19810	 0.958
 19811	 1.007
 19812	 0.935
 19823	 0.600
 19849	 0.820
 19859	 0.570
 19860	-0.054
 19877	 0.400
 19893	 0.312
 19917	 0.097
 19921	 1.078
 19949	 0.052
 19968	-0.116
 19983	 1.108
 19990	 0.259
 19996	 1.078
 20020	-0.061
 20039	 0.947
 20042	-0.108
 20049	 0.836
 20063	-0.072
 20070	 0.043
 20075	 1.597
 20087	 0.277
 20106	 0.302
 20109	 0.489
 20138	 0.132
 20156	 0.235
 20161	 1.066
 20171	-0.069
 20186	-0.107
 20188	 1.428
 20205	 0.981
 20219	 0.283
 20231	 1.679
 20234	-0.031
 20241	 0.962
 20250	 1.150
 20252	 0.950
 20255	 0.404
 20261	 0.225
 20263	 0.901
 20264	-0.027
 20266	 0.820
 20268	 0.914
 20271	-0.124
 20284	 0.456
 20297	 0.359
 20341	 1.320
 20347	 0.371
 20354	-0.022
 20360	 0.056
